id;durclass_bigram_entropy;durclass_bigram_entropy_norm;durclass_abs_entropy;durclass_abs_hist_02_short;durclass_abs_hist_03_medium;durclass_abs_hist_04_long;durclass_abs_zipf;durclass_rel_entropy;durclass_rel_hist_02_short;durclass_rel_hist_03_medium;durclass_rel_hist_04_long;durclass_rel_zipf;durclass_mean_seg_len;mean_seg_len_02_short;mean_seg_len_03_medium;fuzzyint_bigram_entropy;fuzzyint_bigram_entropy_norm;fuzzyint_entropy;fuzzyint_hist_01_big_jump_up;fuzzyint_hist_02_jump_up;fuzzyint_hist_03_leap_up;fuzzyint_hist_04_step_up;fuzzyint_hist_05_repeat;fuzzyint_hist_06_step_down;fuzzyint_hist_07_leap_down;fuzzyint_hist_08_jump_down;fuzzyint_hist_09_big_jump_down;fuzzyint_zipf;event_density;metrical_event_density;number_notes;total_duration;total_duration_bar;ic_bigram_entropy;ic_bigram_entropy_norm;ic_entropy;ic_hist_density_0;ic_hist_density_1;ic_hist_density_2;ic_hist_density_3;ic_hist_density_4;ic_hist_density_5;ic_max;ic_mean;ic_median;ic_min;ic_range;ic_std;ic_var;ic_zipf;int_bigram_entropy;int_bigram_entropy_norm;abs_int_entropy;abs_int_max;abs_int_mean;abs_int_median;abs_int_mode;abs_int_range;abs_int_std;abs_int_sum;abs_int_var;abs_int_zipf;int_entropy;int_max;int_mean;int_median;int_min;int_range;int_std;int_var;int_zipf;ioiclass_bigram_entropy;ioiclass_bigram_entropy_norm;ioiclass_abs_entropy;ioiclass_abs_hist_02_short;ioiclass_abs_hist_03_medium;ioiclass_abs_hist_04_long;ioiclass_abs_zipf;ioiclass_rel_entropy;ioiclass_rel_hist_02_short;ioiclass_rel_hist_03_medium;ioiclass_rel_zipf;aic_mean_seg_len;aic_mean_seg_len_02_short;aic_mean_seg_len_03_medium;ric_mean_seg_len;ric_mean_seg_len_02_short;ric_mean_seg_len_03_medium;mcm_disp;mcm_entropy;mcm_mean_angle;mcm_mean_length;mcm_std;mcm_var;mcm_zipf;metric_complexity;metric_complexity_compression;metric_complexity_division;syncopicity;parsons_bigram_entropy;parsons_bigram_entropy_norm;mean_segment_length_constant_interval_direction;mean_segment_length_constant_negative_interval_direction;mean_segment_length_constant_positive_interval_direction;parsons_entropy;parsons_hist_ascending;parsons_hist_constant;parsons_hist_descending;parsons_zipf;mean_length_seq_ascending;mean_length_seq_descending;ratio_ascending_descending;pc_bigram_entropy;pc_bigram_entropy_norm;mean_number_of_unique_pc;pc_circ_disp;pc_circ_mean_angle;pc_circ_mean_length;pc_circ_std;pc_circ_var;pc_entropy;pc_hist_density_00_C;pc_hist_density_01_C#;pc_hist_density_02_D;pc_hist_density_03_Eb;pc_hist_density_04_E;pc_hist_density_05_F;pc_hist_density_06_F#;pc_hist_density_07_G;pc_hist_density_08_Ab;pc_hist_density_09_A;pc_hist_density_10_Bb;pc_hist_density_11_B;number_of_unique_pc;pitch_bigram_entropy;pitch_bigram_entropy_norm;pitch_entropy;pitch_max;pitch_mean;pitch_median;pitch_min;pitch_range;pitch_std;pitch_var;pitch_zipf;mean_pattern_distance;mean_pattern_length;extrema_count;extrema_ratio;note_count;CV_dur;nPVI_dur;CV_ioi;nPVI_ioi
2022-11-10-17-00-49_70.0;2.280677566851475;0.491117182283397;0.7484456467507434;0.5967741935483871;0.3548387096774194;0.0483870967741935;0.7484456467507434;0.7484456467507434;0.5967741935483871;0.3548387096774194;0.0483870967741935;0.7484456467507434;2.2962962962962963;3.083333333333333;1.8333333333333333;4.181506537730677;0.6595592223519635;0.7344981770373947;0.3278688524590163;0.0327868852459016;0.0491803278688524;0.0163934426229508;0.081967213114754;0.0491803278688524;0.0163934426229508;0.1639344262295081;0.2622950819672131;1.4770061629359017;2.408328154133002;4.816469217323752;62;25.744;12.8725;4.582158204685806;0.8160988424875378;0.8618435318246872;0.2131147540983606;0.0327868852459016;0.2131147540983606;0.1147540983606557;0.1967213114754098;0.2295081967213114;5.0;2.737704918032787;3.0;0.0;5.0;1.8188596620695288;3.3082504703036824;0.7849154063757617;5.773557262275238;0.9941801973125504;4.313224378539982;52;13.918032786885243;10.0;5;52;13.173862699495336;849;173.55065842515452;0.7911578844182637;4.71942069146569;52;0.081967213114754;0.0;-47;99;19.163913391005018;367.2555764579415;0.6511655549782027;2.34792673537354;0.5055985024995873;0.7654652162937621;0.5573770491803278;0.3934426229508196;0.0491803278688524;0.7654652162937621;0.7654652162937621;0.5573770491803278;0.3934426229508196;0.7654652162937621;2.033333333333333;2.6153846153846154;1.7142857142857142;2.033333333333333;2.6153846153846154;1.7142857142857142;319.83333333333417;0.5328217711198869;46.70191862436729;0.0395078990771479;2.5421465931102656;0.960492100922852;0.2511115678015691;0.5462919594067135;0.5761904761904761;0.5163934426229508;0.6612903225806451;2.464620804203168;0.7775012983214961;1.326086956521739;1.5;1.238095238095238;0.8351770906327791;0.4262295081967213;0.081967213114754;0.4918032786885246;1.477538967868529;3.25;3.6666666666666665;0.8666666666666667;5.139513362046686;0.7168154982113222;10;20.423647831838675;4.685365736582163;0.1545846266103122;1.9323631064328133;0.8454153733896879;0.8437107740636173;0.0161290322580645;0.0;0.1774193548387097;0.064516129032258;0.1774193548387097;0.0;0.1612903225806451;0.0967741935483871;0.0483870967741935;0.0967741935483871;0.0161290322580645;0.1451612903225806;10;5.832376681825238;0.995629157328501;4.253519949157473;91;59.7258064516129;59.0;22;69;12.83413964699886;164.71514047866805;0.7746378414195022;17.0;3.0;36;0.5806451612903226;62;0.6094872743354431;0.3659084520236852;0.6094872743354431;0.3659084520236852
2022-11-12-14-36-26_134.0;2.0237445272259635;0.435789663702772;0.5161764244623528;0.765625;0.171875;0.046875;0.5161764244623528;0.5161764244623528;0.765625;0.171875;0.046875;0.5161764244623528;2.6666666666666665;4.454545454545454;1.2222222222222223;4.867356342882805;0.7677399844898797;0.826455051946969;0.1904761904761904;0.1746031746031746;0.1111111111111111;0.0317460317460317;0.0952380952380952;0.0158730158730158;0.0634920634920634;0.0793650793650793;0.238095238095238;1.063219387843375;2.6675558519506506;5.333763475549104;64;23.992;11.999032258064515;4.712362141682209;0.8392886315614773;0.916346102868214;0.2857142857142857;0.0634920634920634;0.0634920634920634;0.1904761904761904;0.0952380952380952;0.2222222222222222;6.0;2.7301587301587302;3.0;0.0;6.0;2.1247322834635045;4.514487276392039;0.8758547340618633;5.728389858774023;0.9908378206208616;3.733566070306944;24;7.650793650793651;6.0;12;24;5.581030029977911;482;31.14789619551524;0.9587066383000388;4.423098923527956;19;-0.0952380952380952;2.0;-24;43;9.469607668100886;89.67346938775512;0.7643571277605706;2.044498584859876;0.4402588067566871;0.5212841257040127;0.7619047619047619;0.1746031746031746;0.0476190476190476;0.5212841257040127;0.5212841257040127;0.7619047619047619;0.1746031746031746;0.5212841257040127;2.625;4.363636363636363;1.2222222222222223;2.625;4.363636363636363;1.2222222222222223;66.14947912555016;0.5327457821362478;42.40383724873457;0.086613706172933;2.211920977811732;0.9133862938270668;0.2665682036560212;0.7896329365079365;0.9919642857142856;0.5873015873015873;1.0;2.5781893260296385;0.8133281780662209;1.3404255319148937;1.3157894736842106;1.4545454545454546;0.8508784296573225;0.5079365079365079;0.0952380952380952;0.3968253968253968;1.3979921390597576;3.25;3.2;1.28;4.830631813063001;0.6737353336459259;10;17.83588010201065;2.9338415426676723;0.1651330954637507;1.8978954086386544;0.8348669045362492;0.7932605088808033;0.078125;0.265625;0.015625;0.015625;0.1875;0.09375;0.0;0.203125;0.046875;0.0;0.046875;0.046875;10;5.540616828193187;0.9817076555266272;3.900892772795237;91;64.90625;64.0;41;50;8.111948652296809;65.8037109375;0.928481913803507;;;34;0.53125;64;0.8324863562840092;0.339899445459916;0.8324863562840092;0.339899445459916
2023-02-17-02-29-03_106.0;1.610590618399342;0.3468218119987631;0.5648489476811142;0.7936507936507936;0.1587301587301587;0.0476190476190476;0.5648489476811142;0.5648489476811142;0.7936507936507936;0.1587301587301587;0.0476190476190476;0.5648489476811142;4.2;7.142857142857143;2.0;4.216260733989286;0.6650410864722183;0.7541156948224351;0.3064516129032258;0.064516129032258;0.0483870967741935;0.0483870967741935;0.064516129032258;0.0483870967741935;0.032258064516129;0.064516129032258;0.3225806451612903;1.0651974785366205;2.8327338129496407;5.665467625899281;63;22.24;11.12;4.72010665835038;0.8406679578104175;0.9191628191285874;0.2258064516129032;0.1290322580645161;0.1129032258064516;0.1129032258064516;0.0967741935483871;0.2903225806451613;6.0;2.725806451612903;3.0;0.0;6.0;2.0333458430325453;4.134495317377732;0.8992659008924758;5.86516356707114;0.9970286345535452;4.421364658134361;51;15.274193548387096;12.0;7;51;12.829111747139924;947;164.58610822060356;0.7666757971979351;5.034526148957008;51;0.1774193548387097;0.0;-47;98;19.946318435909976;397.8556191467222;0.532307708250585;1.7747575913189255;0.3821732454219302;0.6138341797226243;0.7580645161290323;0.1935483870967742;0.0483870967741935;0.6138341797226243;0.6138341797226243;0.7580645161290323;0.1935483870967742;0.6138341797226243;3.647058823529412;5.875;2.0;3.647058823529412;5.875;2.0;28.285430839646992;0.5321320183524894;42.9223117253476;0.1317949091747955;2.013210512112741;0.8682050908252045;0.2654394034228374;0.5480579328505595;0.6122448979591835;0.4838709677419355;0.746031746031746;2.364252802976955;0.745838719181439;1.319148936170213;1.318181818181818;1.380952380952381;0.807969390651213;0.4677419354838709;0.064516129032258;0.4677419354838709;1.6090145863967962;3.142857142857143;3.1666666666666665;1.0;5.058877358704215;0.7055690760623805;12;24.72093042566268;8.74947234355525;0.1408005820491528;1.9801064119864449;0.8591994179508472;0.8596885322645151;0.0634920634920634;0.0793650793650793;0.1428571428571428;0.0793650793650793;0.0158730158730158;0.0158730158730158;0.0317460317460317;0.238095238095238;0.1269841269841269;0.0158730158730158;0.1746031746031746;0.0158730158730158;12;5.857422116838545;0.9957126529161016;4.310048773664105;102;65.68253968253968;64.0;46;56;13.305715917969058;177.04207608969517;0.8005052394106481;;;39;0.6190476190476191;63;0.6990425070134575;0.2252147264785255;0.6990425070134575;0.2252147264785255
2023-02-17-01-44-50_122.0;2.650490088438918;0.5707519742482582;0.6774613330914183;0.6507936507936508;0.1904761904761904;0.1428571428571428;0.6774613330914183;0.6774613330914183;0.6507936507936508;0.1904761904761904;0.1428571428571428;0.6774613330914183;2.1724137931034484;3.4166666666666665;1.5;4.279864806345898;0.6750735118967428;0.7379493119822285;0.3225806451612903;0.0806451612903225;0.0967741935483871;0.0161290322580645;0.032258064516129;0.0161290322580645;0.0483870967741935;0.0967741935483871;0.2903225806451613;1.4363028805221734;2.032258064516129;4.064769912793723;63;31.0;15.499032258064515;4.782555370066061;0.8517902977797988;0.9212454663868012;0.2096774193548387;0.032258064516129;0.1612903225806451;0.1290322580645161;0.1290322580645161;0.2741935483870967;6.0;3.0161290322580645;3.0;0.0;6.0;1.9958984999394016;3.983610822060354;0.9262855099876476;5.897950452317042;0.9984864891017072;4.254869754962842;31;11.758064516129032;10.0;12;31;8.127383985480849;729;66.05437044745057;0.7742678431669028;4.9641305364311945;31;-0.2741935483870967;2.5;-31;62;14.290950616069107;204.23126951092607;0.5433946134699413;2.63368357008376;0.5671328875090599;0.6855646668919997;0.6451612903225806;0.1774193548387097;0.1612903225806451;0.6855646668919997;0.6855646668919997;0.6451612903225806;0.1774193548387097;0.6855646668919997;2.2962962962962963;3.636363636363636;1.5714285714285714;2.2962962962962963;3.636363636363636;1.5714285714285714;3855.004543019633;0.5332336601239098;43.29808137563269;0.0113879196065761;2.9917226372366224;0.988612080393424;0.2467549106375396;0.7313639076442805;0.8820826539982384;0.5806451612903226;0.9047619047619048;1.982561313287708;0.6254284604164592;1.2156862745098038;1.12;1.3333333333333333;0.7383326551010928;0.5161290322580645;0.032258064516129;0.4516129032258064;2.2727042266146484;3.333333333333333;3.0;1.1428571428571428;5.131300342505396;0.7156700162795533;9;105.45494858751437;1.2009348531255928;0.068694881645814;2.314338171271198;0.931305118354186;0.8039955843550664;0.0952380952380952;0.1746031746031746;0.0;0.2063492063492063;0.0;0.1111111111111111;0.0158730158730158;0.0793650793650793;0.1746031746031746;0.0;0.1269841269841269;0.0158730158730158;9;5.825164052322415;0.9943979089668518;4.218645200968644;80;62.74603174603175;65.0;29;51;10.712651256872554;114.76089695137313;0.7368191173531873;;;46;0.7301587301587301;63;0.8091353599499918;0.4549810325120498;0.8091353599499918;0.4549810325120498
2023-02-16-23-39-47_154.0;0.9154481515356162;0.1971310294990045;0.291911255899198;0.9193548387096774;0.064516129032258;0.0161290322580645;0.291911255899198;0.291911255899198;0.9193548387096774;0.064516129032258;0.0161290322580645;0.291911255899198;6.888888888888889;11.4;1.3333333333333333;4.487966797112423;0.7078979463347561;0.737734115493787;0.2786885245901639;0.1475409836065573;0.0;0.0163934426229508;0.0491803278688524;0.0491803278688524;0.0655737704918032;0.0983606557377049;0.2950819672131147;1.2779318073627706;3.400614304519527;6.802012455949822;62;18.232;9.114949494949494;4.375385338743028;0.7792718520136673;0.8383666715264988;0.1967213114754098;0.0491803278688524;0.1475409836065573;0.180327868852459;0.081967213114754;0.3442622950819672;5.0;2.9344262295081966;3.0;0.0;5.0;1.8893042561818272;3.5694705724267672;0.9610552850168717;5.740223928941903;0.9928847560745052;3.964257878903862;34;10.081967213114757;9.0;12;34;6.476426564711851;615;41.94410104810535;0.8350344835666584;4.635758346420437;22;-0.180327868852459;-1.0;-34;56;11.98155439807963;143.55764579414134;0.6491551714854606;1.1688079793131458;0.2516890987896516;0.3671936433726851;0.8852459016393442;0.0983606557377049;0.0163934426229508;0.3671936433726851;0.3671936433726851;0.8852459016393442;0.0983606557377049;0.3671936433726851;4.6923076923076925;7.714285714285714;1.2;4.6923076923076925;7.714285714285714;1.2;45.10756049861153;0.5311518371643904;1.1815056960698047;0.1047047973836123;2.1244342032044825;0.8952952026163876;0.2491017387409428;0.5803374277111313;0.6524781341107871;0.5081967213114754;0.7580645161290323;2.3379481835977103;0.7375405356700699;1.4523809523809523;1.631578947368421;1.35;0.7763336374598976;0.4426229508196721;0.0491803278688524;0.5081967213114754;1.9183067627480737;3.1666666666666665;3.333333333333333;0.8709677419354839;4.995990616109577;0.6967981694515042;12;19.923968914939184;0.6767672670959656;0.1564641812099335;1.926098735400408;0.8435358187900664;0.8941495014022899;0.0806451612903225;0.2580645161290322;0.1129032258064516;0.0483870967741935;0.0161290322580645;0.0806451612903225;0.032258064516129;0.1451612903225806;0.0483870967741935;0.0967741935483871;0.064516129032258;0.0161290322580645;12;5.578118075196919;0.983374436667015;4.144872673213903;95;65.74193548387096;67.0;49;46;8.55331568206903;73.159209157128;0.8414549678162926;;;35;0.5645161290322581;62;0.4524493969949997;0.118966459384533;0.4524493969949997;0.118966459384533
2023-02-16-22-42-36_89.0;2.4691915772853035;0.5317114648645236;0.6477610527935348;0.671875;0.203125;0.109375;0.6477610527935348;0.6477610527935348;0.671875;0.203125;0.109375;0.6477610527935348;1.93939393939394;2.8666666666666667;1.3;4.366129862619531;0.6886803095708806;0.7712134408569198;0.238095238095238;0.1746031746031746;0.0476190476190476;0.0158730158730158;0.0476190476190476;0.0317460317460317;0.0793650793650793;0.0634920634920634;0.3015873015873015;1.281140744211749;2.4630541871921183;4.924971142747211;64;25.984;12.995;4.45201198926162;0.7929193338330359;0.8931865289577999;0.2222222222222222;0.0634920634920634;0.1428571428571428;0.1746031746031746;0.0634920634920634;0.3015873015873015;6.0;2.8253968253968256;3.0;0.0;6.0;1.9803774094347384;3.9218946837994446;1.08169003407628;5.857422116838545;0.9957126529161016;4.050958551495308;29;10.19047619047619;10.0;12;29;7.081962652495273;642;50.15419501133788;0.7571818730548722;4.717215193575274;29;-0.2222222222222222;0.0;-29;58;12.40768380012767;153.9506172839506;0.6546250532510554;2.389525894072025;0.5145563937430936;0.7559344629602085;0.6825396825396826;0.2063492063492063;0.1111111111111111;0.7559344629602085;0.7559344629602085;0.6825396825396826;0.2063492063492063;0.7559344629602085;1.96875;2.8666666666666667;1.3;1.96875;2.8666666666666667;1.3;33.28009655381807;0.5291934703300715;4.604727511768711;0.1216618899985525;2.0525639941908413;0.8783381100014475;0.3053197067309003;0.6506151610681228;0.8250398459457693;0.4761904761904761;0.71875;2.2524637144658364;0.71057318814829;1.26;1.25;1.3043478260869563;0.775145392695342;0.4761904761904761;0.0476190476190476;0.4761904761904761;1.870212142329693;3.0;3.5;1.0;5.13569976463243;0.7162836101631922;9;23.01766170431093;7.8077405368714;0.1458102090912134;1.962370729835324;0.8541897909087866;0.8159830655660997;0.078125;0.0;0.171875;0.0;0.0625;0.125;0.0;0.25;0.015625;0.125;0.09375;0.078125;9;5.755057701277749;0.9909946573815872;4.045162556862447;82;60.953125;59.5;43;39;7.888737397985498;62.232177734375;0.8348219376192801;18.0;3.0;43;0.671875;64;0.709116096320392;0.4835499835114506;0.709116096320392;0.4835499835114506
2023-02-16-22-07-49_97.0;1.6497532568388782;0.3552550271628693;0.5294040291863719;0.78125;0.203125;0.015625;0.5294040291863719;0.5294040291863719;0.78125;0.203125;0.015625;0.5294040291863719;2.909090909090909;4.545454545454546;1.3;4.630985019785166;0.7304565593315415;0.7930400018960511;0.3015873015873015;0.0634920634920634;0.0634920634920634;0.0317460317460317;0.0952380952380952;0.0634920634920634;0.0317460317460317;0.0952380952380952;0.2539682539682539;1.0548576003993857;3.160806005531411;6.321448026642669;64;20.248;10.124262626262626;4.381243996311541;0.780315299980022;0.8220283705257773;0.1587301587301587;0.0;0.2222222222222222;0.1746031746031746;0.2222222222222222;0.2222222222222222;5.0;2.9682539682539684;3.0;0.0;5.0;1.661594701295458;2.760896951373142;0.1997964047748414;5.889680181354675;0.9970863834406144;4.018294164019594;43;10.015873015873016;8.0;8;43;9.072008341539068;631;82.30133534895441;0.8740981048118545;4.635544605833578;36;-0.1428571428571428;0.0;-43;79;13.512906402983123;182.59863945578232;0.663405809873915;1.6325152771005431;0.3515430302719467;0.5143206723982393;0.7936507936507936;0.1904761904761904;0.0158730158730158;0.5143206723982393;0.5143206723982393;0.7936507936507936;0.1904761904761904;0.5143206723982393;3.0;4.545454545454546;1.3333333333333333;3.0;4.545454545454546;1.3333333333333333;355.2186356978076;0.535189752421779;26.28523629836748;0.0374914030278445;2.5626718966262443;0.9625085969721554;0.1778717638577525;0.5204678362573099;0.5488721804511277;0.492063492063492;0.6875;2.4670037288171467;0.7782530273412346;1.2352941176470589;1.2173913043478262;1.318181818181818;0.8569775982223842;0.4603174603174603;0.0952380952380952;0.4444444444444444;1.2851380941786188;3.1666666666666665;3.0;1.0357142857142858;4.72960755946617;0.6596453322056723;8;8.134991570911222;3.785948137363176;0.2406323670728494;1.6878891894920791;0.7593676329271506;0.7635350161528348;0.078125;0.0;0.3125;0.0;0.140625;0.046875;0.125;0.15625;0.0;0.09375;0.0;0.046875;8;5.699346986923353;0.9858142840672152;4.009532361703478;91;64.625;64.0;40;51;9.763612292589254;95.328125;0.9026657760063108;;;38;0.59375;64;0.4646168971611296;0.2598301810194693;0.4646168971611296;0.2598301810194693
2023-02-16-21-56-26_140.0;2.070752197130364;0.4459122144415107;0.6647703105071769;0.7301587301587301;0.2063492063492063;0.0634920634920634;0.6647703105071769;0.6647703105071769;0.7301587301587301;0.2063492063492063;0.0634920634920634;0.6647703105071769;2.1724137931034484;3.066666666666667;1.3;3.418087346832968;0.5391432518557603;0.563454175614319;0.4032258064516129;0.032258064516129;0.032258064516129;0.0;0.032258064516129;0.0161290322580645;0.032258064516129;0.032258064516129;0.4193548387096774;1.5938084927997798;2.741037243299687;5.48184802527785;63;22.984;11.492474747474748;4.401487952068736;0.7839208212481268;0.8558996597441496;0.1935483870967742;0.032258064516129;0.1290322580645161;0.1774193548387097;0.2903225806451613;0.1774193548387097;5.0;2.870967741935484;3.0;0.0;5.0;1.7272378748680717;2.9833506763787727;0.8761745932209617;5.930737337562945;1.00000000000001;4.580671866901874;55;19.774193548387096;16.0;15;55;13.048815735214108;1226;170.27159209157128;0.6237967144047059;5.163558407021526;52;0.5161290322580645;-1.0;-55;107;23.68594379379267;561.0239334027056;0.4628922984751461;2.136174699369496;0.4600001834839599;0.6883465095145643;0.7096774193548387;0.2258064516129032;0.064516129032258;0.6883465095145643;0.6883465095145643;0.7096774193548387;0.2258064516129032;0.6883465095145643;2.0;2.75;1.2727272727272727;2.0;2.75;1.2727272727272727;89.006505071408;0.5309889095615363;24.19685425731567;0.0747407931558502;2.2775992811646257;0.9252592068441498;0.3056802411557462;0.4964326859776168;0.5977040816326531;0.3951612903225806;0.6507936507936508;2.169978587902205;0.6845520278602387;1.3478260869565215;1.4761904761904765;1.2608695652173914;0.7398021448071889;0.4677419354838709;0.032258064516129;0.5;2.2365334563652524;3.2;3.25;0.935483870967742;4.728806496660497;0.6595336067963394;9;5.288438905726621;10.710678405505142;0.2939031733096441;1.5649312498463348;0.7060968266903559;0.7783027230796188;0.0;0.1587301587301587;0.1269841269841269;0.0;0.0317460317460317;0.0317460317460317;0.0952380952380952;0.0476190476190476;0.0;0.2539682539682539;0.0317460317460317;0.2222222222222222;9;5.748472318416551;0.989860684523103;4.379370550477741;101;67.7936507936508;69.0;30;71;15.925579633774891;253.62408667170567;0.7888669214981654;;;41;0.6507936507936508;63;0.6329363230633458;0.406941311244043;0.6329363230633458;0.406941311244043
2023-02-16-19-39-29_69.0;2.3937498604847725;0.5154659754011234;0.7812668042592145;0.6451612903225806;0.2580645161290322;0.0967741935483871;0.7812668042592145;0.7812668042592145;0.6451612903225806;0.2580645161290322;0.0967741935483871;0.7812668042592145;2.0;2.5;1.4545454545454546;4.7005482554818165;0.7414289381204717;0.8032267877059394;0.2786885245901639;0.081967213114754;0.0983606557377049;0.081967213114754;0.0491803278688524;0.0327868852459016;0.0163934426229508;0.1311475409836065;0.2295081967213114;1.1517636846749846;2.255529685681025;4.511137283579512;62;27.488;13.743762626262626;4.536243412983083;0.8079212530879991;0.8702534478971943;0.1475409836065573;0.0163934426229508;0.1639344262295081;0.2786885245901639;0.0983606557377049;0.2622950819672131;6.0;3.081967213114754;3.0;0.0;6.0;1.7301102207588397;2.9932813759742007;1.318694027128204;5.873557262275242;0.9984554923679102;4.259980830007273;39;11.344262295081966;8.0;7;39;9.422479653278492;692;88.78312281644718;0.7966939579316898;4.818467314088093;33;0.2622950819672131;2.0;-39;72;14.744714684456984;217.40661112604133;0.6181238369358569;2.4311834555726533;0.5235268613455041;0.8114871414791825;0.6065573770491803;0.2950819672131147;0.0983606557377049;0.8114871414791825;0.8114871414791825;0.6065573770491803;0.2950819672131147;0.8114871414791825;1.90625;2.3125;1.5;1.90625;2.3125;1.5;209.0605656894275;0.5317023609327983;28.9518408793571;0.0488461367644259;2.457266769097612;0.951153863235574;0.2864407854913184;0.5997432829985524;0.765060336488908;0.4344262295081967;0.5161290322580645;2.344677405740451;0.7396633689041935;1.4878048780487805;1.3157894736842106;1.65;0.7701343647355459;0.5409836065573771;0.0491803278688524;0.4098360655737705;1.9907559844929508;3.4444444444444446;3.2;1.32;4.885678223434154;0.681412737574151;11;24.830460514038155;8.935477114316942;0.1404958381306357;1.981200349532112;0.8595041618693643;0.8554299579731552;0.1935483870967742;0.032258064516129;0.0806451612903225;0.0161290322580645;0.0967741935483871;0.032258064516129;0.0483870967741935;0.2258064516129032;0.032258064516129;0.1612903225806451;0.0;0.0806451612903225;11;5.734016026087527;0.9918109770394706;4.448001504173122;93;61.193548387096776;60.5;28;65;11.303494620459436;127.76899063475544;0.7489954237437979;;;36;0.5806451612903226;62;0.746451733635223;0.4834253978003886;0.746451733635223;0.4834253978003886
2023-02-16-19-05-09_139.0;1.725845854118209;0.3716406761084327;0.570507251496574;0.7741935483870968;0.1935483870967742;0.032258064516129;0.570507251496574;0.570507251496574;0.7741935483870968;0.1935483870967742;0.032258064516129;0.570507251496574;2.583333333333333;4.363636363636363;1.0909090909090908;4.130506048642023;0.6515147908487816;0.7053727692191786;0.3114754098360656;0.0327868852459016;0.0655737704918032;0.0;0.0491803278688524;0.0327868852459016;0.081967213114754;0.081967213114754;0.3442622950819672;1.243666994834104;2.9190207156308854;5.837347421077409;62;21.24;10.621262626262626;4.53457898848125;0.8076248131030234;0.9010096542031296;0.1967213114754098;0.0655737704918032;0.1475409836065573;0.2950819672131147;0.1147540983606557;0.1639344262295081;6.0;2.622950819672131;3.0;0.0;6.0;1.719358767492052;2.956194571351788;1.126968690028115;5.906890595608576;1.0000000000000098;4.501223247791796;47;14.459016393442624;11.0;9;47;11.457081381687768;882;131.2647137866165;0.6970412007811241;5.00402709144848;36;0.4262295081967213;-3.0;-47;83;18.443052818305365;340.14619725880146;0.5294885300511559;1.830682236461031;0.3942159622625691;0.6137459095460864;0.7377049180327869;0.2295081967213114;0.0327868852459016;0.6137459095460864;0.6137459095460864;0.7377049180327869;0.2295081967213114;0.6137459095460864;2.259259259259259;3.75;1.0769230769230769;2.259259259259259;3.75;1.0769230769230769;140.23519163986398;0.534638834993982;9.000000000000005;0.0596051311297604;2.374874150701628;0.9403948688702396;0.1899178113814913;0.623241561766152;0.885827385827386;0.360655737704918;0.6129032258064516;2.308974110321457;0.728400233213996;1.3863636363636365;1.65;1.1904761904761905;0.7701343647355459;0.4098360655737705;0.0491803278688524;0.5409836065573771;1.9907559844929508;3.0;3.4444444444444446;0.7575757575757576;4.957227862394815;0.6913918711001317;10;48.40255316570605;6.96211350147931;0.1011158495900933;2.1407888236945283;0.8988841504099067;0.8639980424444583;0.1451612903225806;0.0483870967741935;0.0806451612903225;0.1129032258064516;0.0161290322580645;0.1129032258064516;0.032258064516129;0.1774193548387097;0.1612903225806451;0.0;0.1129032258064516;0.0;10;5.799589796579335;0.9942909573976983;4.450028875448486;97;67.74193548387096;67.0;37;60;12.489912683223505;155.9979188345473;0.6782096982065727;;;37;0.5967741935483871;62;0.5880261041650088;0.2849822325532191;0.5880261041650088;0.2849822325532191
