Melody Name,Average Information Content
2022-11-10-16-10-17-154.0,4.486737431597633
2022-11-10-16-29-32-137.0,5.118626885915493
2022-11-10-16-59-38-142.0,4.959155906319219
2022-11-10-17-00-49-70.0,5.268494189
2022-11-10-17-06-16-83.0,4.720779018243244
2022-11-10-17-06-35-117.0,4.542932126164875
2022-11-10-17-07-16-137.0,5.118626885915493
2022-11-10-17-07-32-139.0,5.79589193923077
2022-11-10-17-17-30-83.0,4.720779018243244
2022-11-10-17-17-47-79.0,4.864015151207731
2022-11-11-17-56-58-69.0,5.498189064516129
2022-11-11-17-57-23-82.0,5.833749926058632
2022-11-11-18-58-32-154.0,6.484694707843137
2022-11-11-18-58-57-151.0,4.473840341148326
2022-11-11-22-50-45-132.0,4.995592546478873
2022-11-11-22-50-57-68.0,5.748005999999999
2022-11-12-00-19-03-102.0,5.610232379473684
2022-11-12-01-15-42-87.0,5.718493058539823
2022-11-12-02-01-51-91.0,5.5572710832706775
2022-11-12-05-46-48-140.0,5.6418135735
2022-11-12-07-34-27-77.0,5.095951277025641
2022-11-12-09-25-12-127.0,6.038929289655173
2022-11-12-10-56-36-71.0,6.051140891133006
2022-11-12-11-22-10-154.0,4.917642507480917
2022-11-12-12-41-48-89.0,5.134569051376147
2022-11-12-13-38-40-116.0,6.5308116751479295
2022-11-12-14-36-26-134.0,5.286515423502305
2022-11-12-15-00-45-87.0,7.632045060000002
2022-11-12-15-00-56-95.0,5.953218296728972
2022-11-12-15-25-27-75.0,4.812154197790056
2022-11-12-16-10-04-74.0,6.611479471361502
2022-11-12-18-14-48-138.0,6.472668687826086
2022-11-12-19-33-27-77.0,7.0938769013468
2022-11-12-21-05-39-143.0,6.080778740909091
2022-11-12-22-02-15-161.0,4.853888978030303
2022-11-13-00-07-46-110.0,6.166678859533073
2022-11-13-00-31-55-117.0,5.33630236648855
2022-11-13-00-43-20-90.0,5.426652261621622
2022-11-13-00-53-55-71.0,5.062071493495935
2022-11-13-02-13-29-121.0,5.178450620446927
2022-11-13-03-08-43-130.0,4.771596722108844
2022-11-13-10-15-54-71.0,4.6884984526315785
2022-11-13-15-21-30-70.0,5.849634318374558
2022-11-13-16-21-53-152.0,5.087362250000001
2022-11-13-16-21-58-91.0,5.852246906542057
2022-11-13-16-33-13-140.0,5.43774358904762
2022-11-13-16-44-30-71.0,5.903469615808824
2022-11-13-17-34-42-70.0,5.240668526900585
2022-11-13-19-38-07-69.0,6.092345699489796
2022-11-13-21-53-55-82.0,6.264880734250764
2022-11-13-22-05-20-140.0,6.0311380625
2022-11-13-22-52-36-172.0,6.969781662702703
2022-11-13-23-16-50-139.0,5.918112695744681
2022-11-14-00-47-45-68.0,6.778457647417841
2022-11-14-03-36-19-83.0,6.8184476905737705
2022-11-14-04-34-24-150.0,4.801846462727272
2022-11-14-08-08-12-99.0,5.721163155319149
2022-11-14-08-21-45-144.0,5.26701802490566
2022-11-14-08-21-51-161.0,4.726488756976744
2022-11-14-10-59-18-153.0,4.785246502202643
2022-11-14-12-18-48-69.0,6.250104793577982
2022-11-14-12-52-01-155.0,6.03544516227758
2022-11-14-13-04-02-119.0,4.537114432051949
2022-11-14-13-04-15-93.0,5.9020048079497895
2022-11-14-17-09-32-144.0,5.552425721212121
2022-11-14-17-09-39-129.0,5.256966051813472
2022-11-14-18-18-33-125.0,5.072236247651006
2022-11-14-20-21-51-72.0,6.6793964462093856
2022-11-14-20-34-37-84.0,5.262985245258621
2022-11-14-20-34-51-86.0,6.428703870403588
