Rion paiement;Nom de l'oeuvre;Identifiant de l'oeuvre;Nom compositeur;Genre;Familles;Types d'utilisation;Utilisateurs;Pays;Période d’exploitation;Quantité;Titre de l'oeuvre liée;Genre de l'oeuvre liée;Oeuvre composite;Titre du support;Type de support;Producteur;Marque;Produit;EAN13;Référence Catalogue;Répartition d'origine;Type de répartition;Type de remboursement;Titulaire du catalogue;Catalogue éditorial;COAD du catalogue éditorial;Rôle;Catalogue éditorial original;COAD du catalogue éditorial original;Origine éditoriale;Répertoire DE;Répertoire PHONO;Clé DE;Clé DR;Clé PHONO;Montant DE (Euros);Montant DR (Euros);Montant Phono (Euros);Mes droits en NET (Euros)
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Deezer;FRANCE;2021T1;1394;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,060000;0,000000;0,100000;0,160000
659;IDEE NOIRE;3815751311;MARLETTA LUIGI;Chant;Copie privée;Copie privée sonore (Online);Multi utilisateurs;FRANCE;2021S2;6003;;;;;;;;;;;658;Complémentaire Crédit;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;;;;;8,34000015;0,000000;0,000000;0,070000;0,070000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;PORTUGAL;2021T2;1588;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
657;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;SUISSE;2021T2;6557;;;;;;;;;;;657;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;1,080000;0,000000;0,000000;1,080000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Spotify;MAROC;2021T4;1384;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,030000;0,000000;0,000000;0,030000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;APPLE Music;AUTRICHE;2021T4;55;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,010000;0,000000;0,000000;0,010000
659;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;GUADELOUPE;2021T4;8804;;;;;;;;;;;659;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,030000;0,000000;0,030000;0,060000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Streaming;Google;ALLEMAGNE;2021T3;339;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,34000015;;;0,030000;0,000000;0,000000;0,030000
658;amour de jeunesse;4520921611;BRI DARYN;Chant;Online;Plateforme Web;Google;MARTINIQUE;2021T3;8450;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Compositeur;GUERTNER HARIS;1442176;;A-SACEM;A-SACEM;11,11999989;;8,34000015;0,020000;0,000000;0,030000;0,050000
658;FIRE;4362423911;BORA VAKENE;Chant;Online;Streaming;APPLE Music;BELGIQUE;2021T4;91;;;;;;;;;;;658;Normale;;GUERTNER Haris;GUERTNER HARIS;1442176;Auteur;GUERTNER HARIS;1442176;;A-SACEM;;8,33333015;;;0,020000;0,000000;0,000000;0,020000
