 1 résultat(s) ,  ,Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition, CHT , 24F , , E , 1 résultat(s) ,  
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,UN AMOUR DE BOLERO,,,SEBASTIEN GEROUDET (Compositeur-Auteur)SEBASTIEN GEROUDET (Interprète),E,1,00:17:30,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,LES PAPILLONS DE L AMOUR,,,SEBASTIEN GEROUDET (Compositeur-Auteur)SEBASTIEN GEROUDET (Interprète),E,1,00:16:30,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,LES PAPILLONS DE L AMOUR,,,SEBASTIEN GEROUDET (Compositeur-Auteur)SEBASTIEN GEROUDET (Interprète),E,1,00:48:00,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,POUR UN AMOUR DE BAION,,,JAMES MICHAUD (Compositeur-Auteur)JAMES MICHAUD (Interprète),E,1,00:11:30,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,L AMOUR POUR L AMOUR,,,BOUVOT (Compositeur-Auteur)PAUE DAVID (Interprète),E,1,00:15:00,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:57:24,BAC,T5A,,L 16 9 BUMPER JEUNESSE USA BLEUL 16 9 BUMPER JEUNESSE BLEU,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,12:46:44,BAC,T5A,,L 16 9 BUMPER JEUNESSE USA ROSEL 16 9 BUMPER JEUNESSE ROSE,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,09:27:01,BAC,T5M,,L 16 9 BUMPER JEUNESSE USA ROSEL 16 9 BUMPER JEUNESSE ROSE,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,12:43:22,BAC,T5A,,L 16 9 BUMPER JEUNESSE USA BLEUL 16 9 BUMPER JEUNESSE BLEU,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,12:20:18,BAC,T5A,,L 16 9 BUMPER JEUNESSE USA ROSEL 16 9 BUMPER JEUNESSE ROSE,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:27:32,BAC,T5O,,L 16 9 BUMPER JEUNESSE USA BLEUL 16 9 BUMPER JEUNESSE BLEU,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:51:39,BAC,T5O,,L 16 9 BUMPER JEUNESSE USA VERTL 16 9 BUMPER JEUNESSE VERT,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,10:12:22,BAC,T5S,,L 16 9 BUMPER JEUNESSE USA BLEUL 16 9 BUMPER JEUNESSE BLEU,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,10:18:07,BAC,T5S,,L 16 9 BUMPER JEUNESSE USA ROSEL 16 9 BUMPER JEUNESSE ROSE,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,10:30:07,BAC,T5S,,L 16 9 BUMPER JEUNESSE USA VERTL 16 9 BUMPER JEUNESSE VERT,,N,,E,1,00:00:06,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,CLI,TL7,,HISTOIRE D UN AMOUR,,,EMILMO (Compositeur-Auteur),E,1,00:04:10,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,12:41:02,BAC,HIS,,NH BANJ TOUS LES JOURS 13H40 LES DAMES DE LA COTE GRAND FOR,,N,,E,1,00:00:38,1,655
01/01/2020,12:41:02,BAF,HIS,,LES DAMES DE LA COTEINTEMPOREL,,N,COMPANEEZ NINA (Auteur)COMPANEEZ NINA (Réalisateur AV)FRANCE 2 (Producteur)MAG BODARD (Producteur)RTBF (Producteur),E,1,00:00:38,1,655
01/01/2020,12:41:02,BA,HIS,,HISTOIRE D'UN AMOUR,,N,ELETA ALMARAN CARLOS (Compositeur)PEERMUSIC FRANCE (Editeur)DALIDA (Interprète),E,1,00:00:38,1,655
3 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:06:53,FEU,AB3,,PETITS SECRETS ENTRE VOISINSUN AMOUR DE CHAT,,M,,E,1,00:25:50,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,10:02:32,BAC,IDF,,COMING NEXT 2017CN LES VACANCES DE L AMOUR,,N,,E,1,00:00:05,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,13:34:59,BAC,IDF,,BA 2017BA VACANCES DE L AMOUR SA 08H40,,N,,E,1,00:00:35,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,REVE D AMOUR A VIENNE,,,PATRAS (Compositeur-Auteur)PATRAS EMMANUEL (Interprète)HEL (Interprète),E,1,00:21:00,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,SI L AMOUR EST BACHATA,,,PATRAS (Compositeur-Auteur)PATRAS EMMANUEL (Interprète)HEL (Interprète),E,1,00:16:30,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,J ENTENDS CHANTER L AMOUR,,,KARENE NEUVILLE (Compositeur-Auteur)KARENE NEUVILLE (Interprète),E,1,00:15:30,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,CHT,24F,,OH MON AMOURCHT,,,CHRISTOPHE (Compositeur)CHRISTOPHE (Réalisateur AV),E,1,00:00:09,5,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,09:57:50,DOC,SEA,,D AMOUR ET D EAU FRAICHED AMOUR ET D EAU FRAICHE,,M,FLEURY ROMAIN (Auteur)FLEURY ROMAIN (Réalisateur AV)MOREL JEAN BAPTISTE (Auteur),E,1,00:52:37,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
01/01/2020,11:00:00,ORC,T55,,UN AMOUR DE BOLERO,,,SEBASTIEN GEROUDET (Compositeur-Auteur)SEBASTIEN GEROUDET (Interprète),E,1,00:17:30,1,655
1 résultat(s)
Date,Heure,Genre,Diffuseur,Type,Titre,N° épisode,Sous-titrage,Nom,Mode diff.,Tranche horaire,Durée,Nbr passage,N° répartition
